day,score
2023-01-01,11
2023-01-02,15
2023-01-03,18
2023-01-04,19
2023-01-05,23
2023-01-06,24
2023-01-07,21
2023-01-08,22
2023-01-09,27
2023-01-10,32
2023-01-11,35
2023-01-12,34
2023-01-13,33
2023-01-14,28
2023-01-15,26
2023-01-16,36
2023-01-17,41
2023-01-18,42
2023-01-19,41
2023-01-20,38
2023-01-21,31
2023-01-22,34
2023-01-23,45
2023-01-24,48
2023-01-25,49
2023-01-26,49
2023-01-27,47
2023-01-28,39
2023-01-29,41
2023-01-30,54
2023-01-31,58
2023-02-01,55
2023-02-02,61
2023-02-03,57
2023-02-04,49
2023-02-05,51
2023-02-06,67
2023-02-07,73
2023-02-08,72
2023-02-09,72
2023-02-10,68
2023-02-11,55
2023-02-12,57
2023-02-13,70
2023-02-14,69
2023-02-15,70
2023-02-16,68
2023-02-17,64
2023-02-18,56
2023-02-19,59
2023-02-20,68
2023-02-21,76
2023-02-22,67
2023-02-23,72
2023-02-24,61
2023-02-25,50
2023-02-26,54
2023-02-27,77
2023-02-28,66
2023-03-01,65
2023-03-02,65
2023-03-03,59
2023-03-04,49
2023-03-05,52
2023-03-06,66
2023-03-07,65
2023-03-08,72
2023-03-09,68
2023-03-10,63
2023-03-11,51
2023-03-12,54
2023-03-13,66
2023-03-14,71
2023-03-15,82
2023-03-16,78
2023-03-17,74
2023-03-18,58
2023-03-19,65
2023-03-20,100
2023-03-21,84
2023-03-22,84
2023-03-23,82
2023-03-24,82
2023-03-25,62
2023-03-26,74
2023-03-27,82
2023-03-28,93
2023-03-29,95
2023-03-30,96
2023-03-31,88